"","genre","vote","ws.score","sample.size","features","train.accuracy","train.f1score","train.auc","test.precision","test.recall","test.sensitivity","test.specificity","test.accuracy","test.f1score","test.auc","method"
"34","All",50,0.95,15042,100,0.943908924713312,0.94668667561804,0.943917609980343,0.886194029850746,0.947473404255319,0.947473404255319,0.878324468085106,0.912898936170213,0.915809768637532,0.912898936170213,"GBM"
"35","All",50,0.95,15042,200,0.953548279873691,0.955440414507772,0.95355536338679,0.896530736457699,0.97938829787234,0.97938829787234,0.886968085106383,0.933178191489362,0.936129647283127,0.933178191489362,"GBM"
"36","All",50,0.95,15042,300,0.95903274056839,0.96063872255489,0.959039548022599,0.904294478527607,0.980053191489362,0.980053191489362,0.896276595744681,0.938164893617021,0.940650925335035,0.938164893617021,"GBM"
"37","All",50,0.95,15042,350,0.960943992022603,0.962406015037594,0.96095048188767,0.912019826517968,0.978723404255319,0.978723404255319,0.905585106382979,0.942154255319149,0.944194996792816,0.942154255319149,"GBM"
"38","All",50,0.95,15042,400,0.960611600465348,0.962098192867424,0.96061814556331,0.903577926015767,0.990691489361702,0.990691489361702,0.894281914893617,0.94248670212766,0.945131620678719,0.94248670212766,"GBM"
"39","All",50,0.95,15042,450,0.960943992022603,0.962406015037594,0.96095048188767,0.90281173594132,0.982047872340426,0.982047872340426,0.894281914893617,0.938164893617021,0.940764331210191,0.938164893617021,"GBM"
"40","All",50,0.95,15042,500,0.959448230014958,0.960878627545294,0.959454333144184,0.904092852779475,0.984042553191489,0.984042553191489,0.89561170212766,0.939827127659574,0.942375039796243,0.939827127659575,"GBM"
"41","All",50,0.95,15042,550,0.961027089911916,0.962483001359891,0.96103356596876,0.90779702970297,0.975398936170213,0.975398936170213,0.90093085106383,0.938164893617021,0.940384615384615,0.938164893617021,"GBM"
"42","All",50,0.95,15042,600,0.963104537144757,0.964411670407182,0.963110667996012,0.907967881408277,0.977393617021277,0.977393617021277,0.90093085106383,0.939162234042553,0.941402497598463,0.939162234042553,"GBM"
"43","All",50,0.95,15042,650,0.963935516037893,0.965185304026953,0.963941508806913,0.912693498452012,0.980053191489362,0.980053191489362,0.90625,0.943151595744681,0.945174735492145,0.943151595744681,"GBM"
"44","All",50,0.95,15042,700,0.963436928702011,0.964720974983964,0.963443004320372,0.91890205864005,0.97938829787234,0.97938829787234,0.913563829787234,0.946476063829787,0.948181525587383,0.946476063829787,"GBM"
"45","All",50,0.95,15042,100,0.947818861653511,0.949912266709204,0.947980292320508,0.900404858299595,0.742323097463284,0.742323097463284,0.918489065606362,0.830728300631859,0.813757775338456,0.830406081534823,"GBM"
"46","All",50,0.95,15042,200,0.955629414208558,0.957211538461539,0.95577372550956,0.928113879003559,0.870493991989319,0.870493991989319,0.933068257123923,0.90189557698703,0.898380985187737,0.901781124556621,"GBM"
"47","All",50,0.95,15042,300,0.956044869131699,0.957472465632286,0.956177013631984,0.933743169398907,0.912550066755674,0.912550066755674,0.935719019218025,0.92417692051879,0.923024983119514,0.92413454298685,"GBM"
"48","All",50,0.95,15042,350,0.962027420024927,0.963290224114387,0.962162609703593,0.934175531914894,0.937917222963952,0.937917222963952,0.934393638170974,0.936148985700033,0.936042638241173,0.936155430567463,"GBM"
