"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"585","ratio.content.remove",0.18,0.09,1.16,1.73,0.11,0,0.37,1.35,0.24,0.58
"586","wv.687",0,0.94,0.25,0,0.94,0.11,1.08,0.43,1.51,0.58
"587","wv.645",0,0.1,0.21,0.87,1.03,0.26,0.26,0.1,2.34,0.57
"588","wv.754",1.55,0,0,0.24,0.87,0.68,0.36,0.45,0.85,0.56
"589","wv.994",0.19,0.09,0.23,2.47,0.78,0.31,0.23,0.39,0.37,0.56
"590","wv.253",0.08,0.3,0.27,0.21,1.24,0.18,0.89,0.24,1.64,0.56
"591","wv.859",0.76,0.33,0.55,1.05,0.65,0.4,0.3,0.99,0,0.56
"592","wv.331",0.18,0.15,0.19,1.14,0.38,0.41,0.9,1.28,0.31,0.55
"593","wv.429",0.33,0.04,0,0.96,0.32,0.11,1.53,0.6,1.06,0.55
"594","wv.656",1.21,0.02,0.12,1.65,0,0.34,0.82,0.37,0.45,0.55
"595","wv.352",0.2,0.5,0.26,0.25,0.09,1.04,0.16,1.46,0.87,0.54
"596","wv.523",1.21,0.3,0.86,0.34,2,0.05,0.09,0,0,0.54
"597","wv.390",0.92,0.05,0.66,0.48,0.47,0.47,0.35,1.06,0.39,0.54
"598","wv.745",0.21,0.19,0,2.1,1.22,0.24,0.2,0.59,0.15,0.54
"599","wv.468",0.46,0.03,0.29,0.6,0.44,0.29,1.08,1.32,0.35,0.54
"600","wv.817",0.09,0.17,0.33,2.95,0.9,0.18,0.07,0,0.21,0.54
"601","avg.char.of.sentence",0.3,0.15,1.17,0.96,0.35,0.72,0.4,0.16,0.63,0.54
"602","wv.9",0,0.03,0.13,1.37,2.1,0.93,0.17,0,0.04,0.53
"603","wv.940",0.18,0.05,2.81,0.19,0.4,0.25,0.12,0.59,0.19,0.53
"604","wv.336",1.12,0.12,0.27,1.4,0.48,0,0.53,0.34,0.48,0.53
"605","wv.300",0.08,0.15,0.73,0.34,0.37,0.47,0.87,0.23,1.54,0.53
"606","wv.45",0.08,0.06,0,2.61,1.21,0.04,0.57,0,0.22,0.53
"607","avg.word.of.sentence",0.3,0.11,0.45,1.17,1.17,0.42,0.35,0.37,0.44,0.53
"608","wv.953",1.54,0.04,0.49,0.58,0.94,0.21,0.52,0.09,0.27,0.52
"609","avg.char.of.word",0.07,0.07,0.37,0.72,0.44,0.69,1.43,0.51,0.4,0.52
"610","wv.789",0.56,0.74,0.67,0.19,0.56,0.65,0.56,0.49,0.22,0.52
"611","wv.680",0.18,0,0.68,0.46,1.09,0.29,1.14,0.2,0.51,0.51
"612","wv.161",0.27,0.18,0.27,0.19,0.38,0.42,0.32,1.36,1.16,0.51
"613","wv.213",0.18,0.14,0.16,0.29,2.13,0.6,0.57,0.07,0.46,0.51
"614","wv.729",0.75,0.35,0.27,1.01,0.38,0.39,0.59,0.13,0.69,0.51
"615","wv.923",1.05,0.09,0.56,0.57,0.78,0.26,0.6,0.22,0.45,0.51
"616","wv.726",0.69,0.24,0.31,0.44,0.46,0.65,0.2,1.52,0,0.5
"617","wv.744",0.74,0.18,0.33,0.96,1.23,0,0.34,0.51,0.18,0.5
"618","wv.326",0.64,0,0.13,0.55,1.03,0,0.99,0,1.12,0.5
"619","wv.862",0.11,0.07,1.1,0.84,1.09,0.5,0.32,0.29,0,0.48
"620","wv.47",0.29,0.36,0.38,0.45,0.83,0.43,0.49,0,1.03,0.47
"621","wv.100",0.34,0.13,0.11,0.52,0.62,0.98,0.3,0.55,0.66,0.47
"622","wv.466",0.53,0.13,0.47,1.6,0.12,0.3,0.08,0.67,0.34,0.47
"623","wv.696",0,0.05,0.7,0.26,0.11,0.4,0.53,0.74,1.36,0.46
"624","wv.39",0.43,0.04,0.91,0.9,0.69,0.05,0.5,0.31,0.29,0.46
"625","wv.151",0.28,0,0.45,0.18,0.56,0.39,0.82,0.5,0.98,0.46
"626","wv.289",0.88,0.1,0.33,1.11,0.44,0.16,0.13,0.47,0.39,0.45
"627","wv.777",0.09,0,0.75,0.28,0.38,0,1.21,0.39,0.91,0.45
"628","wv.605",0.52,0.05,0.49,0.18,0,0.04,0.76,0.83,1.13,0.44
"629","wv.260",0.58,0.09,0.97,0.93,0.36,0.42,0.24,0.07,0.26,0.44
"630","wv.909",0.33,0.32,0.24,0.23,0.56,0.36,1.04,0.52,0.21,0.42
"631","wv.111",0.58,0.34,0,0.44,0.15,0.41,1,0.42,0.38,0.41
"632","wv.996",1.43,0.03,0.16,0.22,0,0.22,0.32,0.87,0.32,0.4
"633","wv.441",0.3,0.04,0.24,1.17,0.81,0.43,0.18,0,0.31,0.39
"634","wv.401",0.47,0.11,0.12,1.13,0.55,0,0.59,0.17,0.34,0.39
"635","wv.843",0.25,0.03,0.33,1.14,0.12,0.18,0.95,0.09,0.34,0.38
"636","wv.322",0.49,0.03,0.56,0.81,0.53,0.43,0,0.29,0.18,0.37
"637","wv.584",0.24,0.02,0.08,1.07,0.89,0,0.29,0.27,0.4,0.36
"638","wv.648",0.17,0.03,0.12,0.56,0.16,0.36,0.31,0.81,0.55,0.34
"639","wv.989",0.32,0.09,0.3,0.84,0.72,0.4,0.07,0,0.17,0.32
"640","wv.880",0.68,0.14,0.3,0.42,0.26,0,0.21,0.09,0.73,0.31
"641","wv.13",0.22,0.03,0.15,0,0.48,0.23,0.33,0.63,0.75,0.31
"642","wv.917",0.33,0.17,0.67,0,0.45,0.38,0.28,0.5,0,0.31
