"","feature","weight","weight","weight","weight","weight","weight","weight","weight","weight","mean"
"115","wv.946",0.54,0.07,2.01,2.62,2.01,2.91,0.22,3.6,0.07,1.56
"116","wv.143",1.94,0.05,4.43,2.46,0.97,0.08,1.31,2.33,0.39,1.55
"117","wv.97",1.7,0.07,1.42,3.16,1.75,0.45,0.87,3.91,0.62,1.55
"118","wv.279",0.18,0.43,0.34,10.76,0.66,0.23,0.4,0.58,0.41,1.55
"119","wv.728",0.27,0.53,1.71,4.76,2.18,0.06,0.6,3.13,0.61,1.54
"120","wv.591",5.4,0.06,0.57,0.62,1.25,2.49,0.17,2.79,0.55,1.54
"121","wv.19",0.11,0.11,5.15,1.55,1.89,0.59,0.56,3.64,0.24,1.54
"122","wv.141",0.45,0.05,1.11,7.56,0.15,0.47,0.55,2.5,1.05,1.54
"123","n.char",3.36,0.4,6.03,0.55,1.44,0.17,0.31,0.45,1.02,1.53
"124","wv.382",0.26,0.63,1.47,5.43,1.86,0.23,2.07,0.87,0.95,1.53
"125","wv.486",1.24,0.07,2.68,2.38,1.31,1.37,0.15,3.61,0.99,1.53
"126","wv.979",0.57,1.04,0.42,2.32,2.58,3.57,1.33,1.32,0.6,1.53
"127","wv.31",0.28,0.26,0.38,12.26,0.12,0.21,0.17,0.07,0.06,1.53
"128","wv.350",2.73,0.24,0.49,1.56,0.6,0.16,1.25,6.11,0.51,1.52
"129","wv.282",1.12,0.09,1.88,1.27,5.11,0,0.95,0.63,2.63,1.52
"130","wv.51",0.38,0.43,0.91,3.09,1.6,0.47,0.12,5.11,1.58,1.52
"131","wv.678",0.71,1.19,0.3,1.27,2.24,0.25,0.88,4.96,1.71,1.5
"132","n.cap",1.58,1.38,0.26,2.34,2.62,1.56,0.37,2.69,0.68,1.5
"133","wv.372",1.84,2.16,0.95,0.85,5.28,0.15,0.47,0.51,1.29,1.5
"134","wv.719",0.6,0.01,0.23,3.13,5.12,0.26,3.69,0.4,0.08,1.5
"135","wv.972",0.58,0.13,0.25,5.87,3.55,0.93,0.59,1.36,0.28,1.5
"136","wv.231",1.02,1.06,0.12,7.37,1.29,0.81,0.54,0.41,0.83,1.49
"137","wv.73",0.48,0.35,0,3.99,1.44,0.12,0.17,0.78,6.03,1.48
"138","wv.990",1.6,0.04,0.32,2.47,3.98,0.37,4.1,0.11,0.2,1.47
"139","wv.737",0.82,0.07,1.71,7.77,0.55,0.47,0.51,0.83,0.42,1.46
"140","wv.703",0.89,0.14,0.92,3.77,1.73,0.14,0.5,0.69,4.4,1.46
"141","wv.816",1.18,0.07,1.13,6.51,0.83,0.18,0.77,2.02,0.42,1.46
"142","wv.400",2.75,0.09,0.71,3.81,4.07,0.41,0.61,0.63,0.06,1.46
"143","wv.112",0,0.04,0.61,0.96,9.14,0.29,0,1.43,0.71,1.46
"144","avg.sentence.of.paragraph",5.21,0.03,0.49,1.84,1.17,0.45,1.03,1.23,1.65,1.46
"145","wv.497",1.02,0.33,2.32,1.53,0.29,1.18,0.27,5.12,1.11,1.46
"146","wv.903",0.85,0.77,0.88,4.92,0.93,0.63,0.84,1.92,1.28,1.45
"147","wv.84",0.21,0.34,4.02,5.92,1.56,0.25,0.05,0.28,0.43,1.45
"148","wv.443",1.15,0.53,1.86,3.09,0.12,0.23,1.19,3.64,1.16,1.44
"149","wv.621",0.9,0.2,1.05,5.39,0.74,3.49,0.07,0.95,0.18,1.44
"150","wv.126",2,0.14,0.37,5.22,1.57,0.27,0.33,0.89,2.07,1.43
"151","wv.964",0.76,0.14,0.47,4.17,1.29,0.14,0.28,4.96,0.66,1.43
"152","wv.510",4.26,0.27,1.03,2.27,3.97,0.06,0.31,0.14,0.55,1.43
"153","wv.174",3.87,0.07,0.95,0.78,0.8,3.02,1.54,0.14,1.59,1.42
"154","wv.332",0.09,0.05,0.72,7.47,1.36,1.2,0.15,1.09,0.63,1.42
"155","wv.371",4.27,0.02,1.46,0.31,0.91,0.95,0.22,0.35,4.26,1.42
"156","wv.574",0.21,0.19,1.1,5.65,0.67,0.26,2.07,2.38,0.16,1.41
"157","wv.76",3.22,0.06,0.57,1.32,0.39,0.2,3.61,2.91,0.45,1.41
"158","wv.911",1.52,0.1,0.26,4.68,3.04,0.83,0.72,1.32,0.2,1.41
"159","wv.460",3.06,0.09,1.64,1.76,4.3,0.24,0.62,0.32,0.59,1.4
"160","wv.320",0.61,0.1,1.14,5.87,0.95,0.27,0,2.87,0.81,1.4
"161","wv.887",4.31,0.09,0.9,4.73,0.42,0.89,0.31,0.5,0.45,1.4
"162","wv.930",1.17,0.13,0.18,1.7,6.23,0.23,0.51,2.29,0.12,1.4
"163","wv.258",1.92,0.07,0.59,2.02,0.94,1.45,2.86,1.7,1.07,1.4
"164","wv.616",1.64,0.47,2.78,0.78,0.72,0.9,4.83,0.32,0.15,1.4
"165","wv.77",4.77,0.19,0.42,5.75,0,0.85,0.17,0.39,0.09,1.4
"166","wv.176",0.59,0.14,2.15,7.77,0.27,0.17,0.49,0.32,0.57,1.39
"167","wv.649",0.27,0.04,6.19,0.83,0.39,0.25,1.37,2.39,0.74,1.39
"168","wv.795",4.77,0.07,0.47,4.94,0.38,0.4,0,0.87,0.6,1.39
"169","wv.411",3.95,0.33,0.63,0.76,2.95,0.31,0.78,0.4,2.3,1.38
"170","wv.686",0.17,0.07,1.52,7.98,0.55,0.35,0.4,0.67,0.68,1.38
"171","wv.823",0.2,0.34,0.15,5.39,1.78,0.38,2.54,0.96,0.68,1.38
"172","wv.499",0.54,0.05,1.53,1.97,3.51,0.2,0.86,3.65,0.07,1.38
"173","wv.393",0,0,2.81,2.62,4.78,0.59,0.58,0.8,0.17,1.37
"174","wv.421",0.47,0.38,1.57,0.88,0,0.7,4.66,3.5,0.16,1.37
"175","wv.794",0.63,0.98,0.51,0.83,0.11,1.26,1.16,5.43,1.42,1.37
"176","wv.125",0.26,0.41,1.09,1.53,3.31,0.51,1.7,2.92,0.6,1.37
"177","wv.239",1.34,0.08,0.45,5.22,0.6,0.35,0.45,0.65,3.23,1.37
"178","wv.337",3.97,0.14,0.39,1.25,1.16,0.82,0.27,2.92,1.31,1.36
"179","wv.585",2.11,0.06,0.13,4.17,1.33,0.27,0.39,1.89,1.77,1.35
"180","wv.607",0.84,0.48,0.18,4.97,1.78,0.58,0.45,1.79,1.1,1.35
"181","wv.567",0.59,0.08,1.04,0.75,1.55,0.22,0.3,6.16,1.47,1.35
"182","wv.762",2.04,0.1,1.91,0.96,1.5,0.27,1.25,2.09,2,1.35
"183","wv.109",1.45,0.05,2.3,1.44,1.26,0.55,0.35,2.65,1.98,1.34
"184","wv.369",0.08,1.19,0.38,6.85,1.42,1.39,0.41,0.1,0.27,1.34
"185","wv.98",3.11,1.25,0.72,0.76,3.67,1.15,0.4,0.21,0.8,1.34
"186","wv.983",1.05,0.22,0.78,1.56,0.51,0.2,5.17,1.52,1.05,1.34
"187","wv.88",0.43,0.21,0.48,0.4,5.07,0.93,0.26,4.32,0,1.34
"188","wv.209",3.36,0.05,0.35,3.38,2.14,1.71,0.26,0.25,0.51,1.33
"189","wv.467",4.48,0.12,1.24,0.21,4.13,0.15,0.25,1.03,0.4,1.33
"190","wv.797",0.62,0.09,0.93,4.93,1.42,2.53,0.39,0.64,0.36,1.32
"191","wv.20",0.66,0.03,3.79,2.14,2,0.34,1.44,0,1.45,1.32
"192","wv.624",0,0.08,2.17,2.06,1.63,0.28,4.21,1.23,0.11,1.31
"193","wv.697",0.32,0.05,0.29,3.37,0.91,2,1,3.44,0.45,1.31
"194","wv.925",1.83,0,0.42,0.18,1.24,0.53,2.5,0.1,4.95,1.31
"195","wv.884",4.25,0.31,0.31,2.45,0.38,2.27,1.4,0.24,0.22,1.31
"196","wv.870",3.59,0.42,0.19,2.06,0.41,2.36,0.9,0.66,1.19,1.31
"197","wv.110",0.58,0.09,2.01,2.24,1.42,3.94,0.4,1.09,0,1.31
"198","wv.165",0.39,0.32,0,8.36,0.1,0.55,0.47,0.52,1.12,1.31
"199","wv.752",1.55,0.67,1.05,5.07,2.31,0.28,0.46,0.18,0.15,1.3
"200","wv.63",0.91,0.05,2.48,0.73,0.38,0.16,0.54,5.26,1.21,1.3
"201","wv.59",1.33,0.04,0.4,3.7,3.55,1.22,0.62,0.26,0.61,1.3
"202","wv.266",1.9,0.57,0.37,1.88,4.84,0.68,0.25,0.41,0.8,1.3
"203","wv.144",0.24,0.13,0.43,1.97,7.06,0.58,1.11,0.05,0.13,1.3
"204","wv.276",2.31,0.77,2.15,0.49,3.96,0.24,0.63,0.57,0.56,1.3
"205","wv.117",0.88,1.04,2.67,3.02,1.14,0.05,1.64,0.21,1.06,1.3
"206","wv.412",1.56,0.06,1.43,2.9,2.2,0.73,0.52,0.33,2.01,1.3
"207","wv.345",1.04,0.07,1.04,1.66,0.73,0.18,0.66,1.7,4.53,1.29
"208","wv.618",0.92,0.1,1.17,5.37,0.37,0.15,2.29,0.9,0.3,1.29
"209","liwc.WC",0.61,0.09,2.47,5.18,0.76,0.71,0.18,0.51,1,1.28
"210","wv.504",0.33,0.12,0,2.09,4.78,0.26,1.24,1.25,1.49,1.28
"211","wv.364",1.67,0.09,1.15,4.53,0.73,0.47,0.49,1.87,0.5,1.28
"212","wv.905",0.28,0,0.62,1.11,4.01,3.48,1.51,0.17,0.3,1.28
"213","wv.288",0.66,0.15,0.36,2.91,3.56,1.65,0.94,0.43,0.88,1.28
"214","wv.185",0.61,0.23,0.54,5.42,2.51,0.3,1.4,0.14,0.37,1.28
"215","wv.683",0.32,0.14,0.87,2.99,3.74,0.49,2.06,0.62,0.3,1.28
"216","wv.802",1.61,0.1,0.14,4.53,0.64,0.08,0.22,0.95,3.29,1.28
"217","wv.500",1.51,0.65,0.09,7.56,0,0.26,0.93,0,0.5,1.28
"218","wv.245",0.83,0.08,1.16,4.35,1.31,0.6,1.29,1.63,0.21,1.27
"219","wv.206",0.59,0.08,3.87,2.76,1.89,0.15,0.15,0.99,0.93,1.27
"220","n.content.origin",3.22,0.31,2.03,1.55,1.56,0.13,1.2,0.69,0.71,1.27
"221","wv.493",2.2,0.06,1.12,2.38,0.39,0.48,0.15,3.59,1.08,1.27
"222","wv.815",0.59,0.1,0.31,1.48,0.76,0.84,1.36,4.19,1.83,1.27
"223","wv.344",0.11,0.18,0.33,7.88,1.01,0.3,0.7,0.7,0.2,1.27
"224","wv.483",2.21,0.12,0.2,1.25,3.82,1.32,0.54,1.74,0.18,1.26
"225","wv.414",0.75,0.1,0.29,2.16,0.4,0.62,1.47,5.12,0.39,1.26
"226","wv.68",0.58,0.06,0.87,2.43,4.3,0.66,0.57,0.55,1.26,1.25
"227","wv.478",3.48,0.14,3.67,2.69,0.11,0.23,0.05,0.54,0.34,1.25
"228","wv.868",0.19,0.28,0.87,6.9,0.37,0.07,0.89,1.67,0,1.25
"229","wv.711",0.53,0.77,1.14,4.48,0.3,1.4,0.8,1.32,0.43,1.24
"230","wv.319",0.62,0.31,0.79,5.65,2.42,0.14,0.51,0.33,0.35,1.24
"231","wv.69",3.51,0.14,0.16,2.45,1.88,0.75,0.13,0.58,1.52,1.24
"232","wv.233",0.07,0.16,2.29,3.07,0.13,0.32,0.97,1.89,2.24,1.24
